,gula,beras,minyak,Total
A1,25,15,28.8,68.8
A2,25,15,24,64
A3,25,20,28.8,73.8
A4,25,25,9.6,59.6
A5,50,10,48,108
A6,50,10,9.6,69.6
A7,50,10,9.6,69.6
A8,25,5,4.8,34.8
A9,49,15,19.2,83.2
A10,25,30,4.8,59.8
A11,50,15,28.8,93.8
A12,25,10,14.4,49.4
A13,5,10,4.8,19.8
A14,25,10,24,59
A15,50,15,9.6,74.6
A16,25,25,19.2,69.2
A17,10,15,14.4,39.4
A18,25,10,9.6,44.6
A19,25,15,9.6,49.6
A20,25,15,24,64
A21,50,10,14.4,74.4
A22,25,15,19.2,59.2
A23,50,25,48,123
A24,24,5,48,77
A25,50,20,16,86
A27,50,10,14.4,74.4
A54,20,95,20.8,135.8
