,DC,S1,S2,S3,S4,S5,A1,A2,A3,A4,A5,A6
DC,0,45.3,50,45.1,38.7,42.3,30.8,26.3,25.5,27.5,28.0,26.1
S1,45.3,0,16.9,20.6,8.1,16.9,9.0,15.7,14.8,9.2,3.4,7.8
S2,50,16.9,0,5.2,18.1,11,3.2,11.0,11.3,4.9,6.4,7.4
S3,45.1,20.6,5.2,0,13.2,6,4.7,6.1,6.3,3.5,9.1,7.3
S4,38.7,8.1,18.1,13.2,0,8.7,11.2,7.4,6.6,8.9,7.3,6.3
S5,42.3,16.9,11,6,8.7,0,5.7,2.0,1.4,3.6,7.8,6.2
A1,30.8,9.0,3.2,4.7,11.2,5.7,0,3.9,4.5,2.5,6.6,5.1
A2,26.3,15.7,11.0,6.1,7.4,2.0,3.9,0,0.7,2.3,8.1,6.4
A3,25.5,14.8,11.3,6.3,6.6,1.4,4.5,0.7,0,2.9,7.5,5.7
A4,27.5,9.2,4.9,3.5,8.9,3.6,2.5,2.3,2.9,0,6.7,4.6
A5,28.0,3.4,6.4,9.1,7.3,7.8,6.6,8.1,7.5,6.7,0,3.4
A6,26.1,7.8,7.4,7.3,6.3,6.2,5.1,6.4,5.7,4.6,3.4,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
